channel,type,frequency
CD34HLAEtoCD3,"(2, A)",41.80899523
CD34HLAEtoCD3,"(2, B)",60.52184247
CD34HLAEtoCD3,"(2, D)",11.36975961
CD34HLAEtoCD3,"(3, A)",17.4938156
CD34HLAEtoCD3,"(3, B)",43.91115838
CD34HLAEtoCD3,"(3, D)",17.30497393
CD34HLAEtoCD3,"(4, A)",18.52131281
CD34HLAEtoCD3,"(4, D)",22.0204153
CD34HLAEtoCD3,"(5, A)",36.57735
CD34HLAEtoCD3,"(5, D)",12.53841432
CD34toCD3,"(2, A)",51.83441353
CD34toCD3,"(2, B)",80.3543452
CD34toCD3,"(2, D)",68.55678391
CD34toCD3,"(3, A)",18.18464859
CD34toCD3,"(3, B)",66.35553303
CD34toCD3,"(3, D)",23.65967518
CD34toCD3,"(4, A)",19.13191471
CD34toCD3,"(4, D)",21.11140505
CD34toCD3,"(5, A)",33.79681474
CD34toCD3,"(5, D)",17.63426336
